top_contributions,original_top_values,predicted_top_values,loss,label
"{""ACK Flag Cnt"": {""Fwd PSH Flags"": 0.001960505377711197, ""SYN Flag Cnt"": 0.0019604995002954206, ""Flow Byts/s"": 3.6920017796040716e-05, ""Reconstruction Error"": 0.32605077906693225}, ""Fwd Seg Size Min"": {""URG Flag Cnt"": 0.005354086627332851, ""Bwd IAT Mean"": 0.0004576900586734005, ""Bwd IAT Min"": 9.410275959320285e-05, ""Reconstruction Error"": 0.16016354870441118}, ""PSH Flag Cnt"": {""URG Flag Cnt"": 0.003016556482279323, ""Pkt Len Min"": 0.0011029963219431915, ""Fwd Pkt Len Min"": 0.0009216390281272228, ""Reconstruction Error"": 0.11947069988637171}}","{""ACK Flag Cnt"": -8.00771106076018e-07, ""Fwd Seg Size Min"": 0.8333333333333334, ""PSH Flag Cnt"": 9.84623652961848e-06}","{""ACK Flag Cnt"": 0.57100856, ""Fwd Seg Size Min"": 20.043144, ""PSH Flag Cnt"": 0.34564534}",0.0297146391463277,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": 1.3359477615062124e-06, ""Protocol"": 9.016197608989227e-06, ""Flow Duration"": -2.3709942673399587e-06, ""Reconstruction Error"": 0.16657229983044797}, ""Protocol"": {""Protocol"": -8.0040695767972e-06, ""Flow Duration"": 3.506303920951997e-06, ""Tot Fwd Pkts"": 8.959042852797191e-06, ""Reconstruction Error"": 0.11054266587079623}, ""Bwd Pkts/s"": {""Protocol"": 0.005960088418754627, ""Bwd IAT Tot"": 0.0012627620799482765, ""Bwd IAT Max"": 0.0008656697509681073, ""Reconstruction Error"": 5.708151316159164e-05}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Bwd Pkts/s"": 0.03846153846000001}","{""Fwd Seg Size Min"": 20.007036, ""Protocol"": 6.005094, ""Bwd Pkts/s"": 15110.5}",0.0263080567940124,Infilteration
"{""Fwd Seg Size Min"": {""Protocol"": -8.372028671937292e-06, ""Flow Duration"": -8.731005313670978e-06, ""Tot Fwd Pkts"": -6.8358579048934985e-06, ""Reconstruction Error"": 0.16700308591397334}, ""Protocol"": {""Dst Port"": 6.376211312880746e-06, ""Protocol"": 3.2873425382677134e-06, ""Flow Duration"": -6.086439285203575e-06, ""Reconstruction Error"": 0.1101951651329454}, ""Init Fwd Win Byts"": {""Protocol"": 3.7652049829880292e-06, ""Flow Duration"": 5.760599559186199e-06, ""Tot Fwd Pkts"": -2.258372734048369e-06, ""Reconstruction Error"": 0.0003447910405929742}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.003875732421875}","{""Fwd Seg Size Min"": 20.032352, ""Protocol"": 5.996203, ""Init Fwd Win Byts"": 1216.9124}",0.0101987967851326,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -8.292068523615497e-06, ""Protocol"": -4.3602679101281987e-07, ""Flow Duration"": -6.137767085974729e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""FIN Flag Cnt"": 0.0013112343757684902, ""Fwd Seg Size Min"": 0.0010073274464567072, ""Dst Port"": 6.4596019983204756e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": -3.885160010010289e-06, ""Flow Duration"": 6.885117655353744e-06, ""Tot Fwd Pkts"": 4.562589597123151e-07, ""Reconstruction Error"": 0.027418519242095325}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 1.52587890625e-05}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.804}",0.0004422162548426,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -5.675861215427693e-06, ""Protocol"": 1.2095744742917306e-06, ""Flow Duration"": 3.546509723818075e-06, ""Reconstruction Error"": 0.16630807181277665}, ""Protocol"": {""Dst Port"": 0.00012128158316581511, ""Protocol"": -8.657813170430843e-06, ""Flow Duration"": 8.262039231066376e-06, ""Reconstruction Error"": 0.11040600821225822}, ""Init Bwd Win Byts"": {""Dst Port"": -6.206479922568727e-06, ""Flow Duration"": -8.842017551078997e-07, ""Tot Fwd Pkts"": -2.185342154787102e-06, ""Reconstruction Error"": 0.01594424323036619}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.0069427490234375}","{""Fwd Seg Size Min"": 19.991493, ""Protocol"": 6.0015993, ""Init Bwd Win Byts"": 8275.271}",0.0091129272654888,Infilteration
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.005867526583398752, ""RST Flag Cnt"": 0.005865384023561491, ""Init Bwd Win Byts"": 0.003995824869362127, ""Reconstruction Error"": 0.16234045526835236}, ""Protocol"": {""Bwd IAT Std"": 0.00042845670669184173, ""Pkt Len Min"": 0.0003504729911937394, ""Protocol"": 9.802511249030008e-07, ""Reconstruction Error"": 0.11035497643622688}, ""Init Bwd Win Byts"": {""Protocol"": 0.0007090751434290637, ""Dst Port"": -7.625719096482511e-07, ""Flow Duration"": -3.609827823954491e-06, ""Reconstruction Error"": 0.02631938996024985}}","{""Fwd Seg Size Min"": 0.6666666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": -6.841824166678032e-06}","{""Fwd Seg Size Min"": 20.006584, ""Protocol"": 6.0002937, ""Init Bwd Win Byts"": 10632.07}",0.0013149623938978,Infilteration
"{""Fwd Seg Size Min"": {""ACK Flag Cnt"": 0.0014726916560509618, ""Bwd Pkts/s"": 0.00034890515180192747, ""Flow Pkts/s"": 0.0002639123759696197, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""ECE Flag Cnt"": 0.01011905653831225, ""RST Flag Cnt"": 0.010106023639546716, ""Init Bwd Win Byts"": 0.0031926864361505464, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""ECE Flag Cnt"": 0.007621433818133008, ""RST Flag Cnt"": 0.007602026422233336, ""Init Bwd Win Byts"": 0.0052069229380327575, ""Reconstruction Error"": 0.02741886421856902}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.0010833740234375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.873}",0.0191444736257005,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": 9.63091035856996e-06, ""Protocol"": 3.885859116186968e-06, ""Flow Duration"": 6.228423830249715e-07, ""Reconstruction Error"": 0.16657229983044797}, ""Protocol"": {""Dst Port"": -7.923936550214128e-06, ""Protocol"": 6.580326942451742e-06, ""Flow Duration"": -1.8897036880936608e-06, ""Reconstruction Error"": 0.11054266587079623}, ""Bwd Pkts/s"": {""Dst Port"": -7.175743935985138e-07, ""Protocol"": 5.768504397662801e-06, ""Flow Duration"": -9.406429054526607e-06, ""Reconstruction Error"": 5.709065431848581e-05}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Bwd Pkts/s"": 0.12500000000000003}","{""Fwd Seg Size Min"": 20.007036, ""Protocol"": 6.005094, ""Bwd Pkts/s"": 15111.795}",0.0096248177014303,Infilteration
"{""Fwd Seg Size Min"": {""Bwd IAT Max"": 0.0003588872744869636, ""Bwd IAT Std"": 0.0002328463032537248, ""Dst Port"": -4.8703015630426155e-06, ""Reconstruction Error"": 0.16700308591397334}, ""Protocol"": {""ECE Flag Cnt"": 0.004100122887112806, ""RST Flag Cnt"": 0.004041817124819519, ""Bwd IAT Mean"": 0.00016473558842428266, ""Reconstruction Error"": 0.1101951651329454}, ""Init Fwd Win Byts"": {""Fwd PSH Flags"": 0.018459819448178538, ""SYN Flag Cnt"": 0.01845978012756954, ""Bwd Pkts/s"": 0.004628620816953207, ""Reconstruction Error"": 0.0003449174835695873}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.00390625}","{""Fwd Seg Size Min"": 20.032352, ""Protocol"": 5.996203, ""Init Fwd Win Byts"": 1217.1355}",0.0109063284741328,Infilteration
"{""Fwd Seg Size Min"": {""Init Fwd Win Byts"": 0.00013989897678628725, ""Active Max"": 6.0252625256910705e-05, ""Active Mean"": 5.8995689687074e-05, ""Reconstruction Error"": 0.15936767181229758}, ""Protocol"": {""Dst Port"": -9.750089449519255e-07, ""Flow Duration"": -8.931802242220232e-07, ""Tot Fwd Pkts"": 7.268362428788806e-06, ""Reconstruction Error"": 0.11037980765464699}, ""Init Fwd Win Byts"": {""Dst Port"": 7.655396752421695e-06, ""Protocol"": -6.421333245414012e-06, ""Flow Duration"": 2.44454010834171e-06, ""Reconstruction Error"": 0.015640140801176913}}","{""Fwd Seg Size Min"": 0.8333333333333334, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.478179931640625}","{""Fwd Seg Size Min"": 19.995356, ""Protocol"": 6.000929, ""Init Fwd Win Byts"": 8196.446}",0.0098131694062806,Infilteration
"{""ACK Flag Cnt"": {""Bwd Pkts/s"": 0.0030992322264372925, ""Flow Pkts/s"": 0.0022111874111792273, ""Bwd Pkt Len Min"": 0.0019826365815457134, ""Reconstruction Error"": 0.3260488050536914}, ""Fwd Seg Size Min"": {""Protocol"": 0.0052925726791461574, ""FIN Flag Cnt"": 0.0045400275546190845, ""Bwd IAT Tot"": 0.0013187182550016894, ""Reconstruction Error"": 0.16016352485037194}, ""PSH Flag Cnt"": {""Dst Port"": 1.6926734356792436e-06, ""Protocol"": -5.4028773236310035e-06, ""Flow Duration"": -9.433064158262247e-06, ""Reconstruction Error"": 0.11947164758336104}}","{""ACK Flag Cnt"": -2.4341340674173934e-06, ""Fwd Seg Size Min"": 0.8333333333333334, ""PSH Flag Cnt"": -8.055824752882071e-06}","{""ACK Flag Cnt"": 0.57100683, ""Fwd Seg Size Min"": 20.043142, ""PSH Flag Cnt"": 0.3456467}",0.0267264393287062,Infilteration
"{""Fwd Seg Size Min"": {""Fwd PSH Flags"": 0.0017990196656064038, ""SYN Flag Cnt"": 0.0017990187006395168, ""Bwd IAT Tot"": 0.00034682111091168444, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""ECE Flag Cnt"": 0.00777314774044481, ""RST Flag Cnt"": 0.007724392759028023, ""Init Bwd Win Byts"": 0.006746526300307622, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd Pkt Len Min"": 0.0001253041119997386, ""Dst Port"": -7.020412141692078e-06, ""Protocol"": 5.052551160339079e-06, ""Reconstruction Error"": 0.02741841067596517}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.0341949462890625}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.817}",0.0004050338838348,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": 3.21660518202712e-07, ""Protocol"": -4.131727987181484e-06, ""Flow Duration"": 3.360128372994736e-07, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd Pkt Len Min"": 0.00023550817509165815, ""Dst Port"": -7.3669176428089656e-06, ""Flow Duration"": -6.35130602903494e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd Pkts/s"": 0.0002510523684109348, ""Flow Pkts/s"": 0.0001990485130968388, ""Dst Port"": -5.494321128155253e-07, ""Reconstruction Error"": 0.027419447845980154}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.015472412109375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10852.003}",0.0010466101762134,Infilteration
"{""Fwd Seg Size Min"": {""ACK Flag Cnt"": 0.0010028128528334346, ""Dst Port"": -5.53130939439887e-06, ""Flow Duration"": -3.1353716864505327e-06, ""Reconstruction Error"": 0.16657229983044797}, ""Protocol"": {""URG Flag Cnt"": 0.002317725915958936, ""Dst Port"": -7.662999915231473e-06, ""Protocol"": 5.738845014449516e-06, ""Reconstruction Error"": 0.11054266587079623}, ""Bwd Pkts/s"": {""Dst Port"": -4.83632551709608e-06, ""Protocol"": 1.0691561936635566e-06, ""Flow Duration"": 4.037344570823965e-06, ""Reconstruction Error"": 5.7084449455402364e-05}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Bwd Pkts/s"": 5.5896150609225415e-06}","{""Fwd Seg Size Min"": 20.007036, ""Protocol"": 6.005094, ""Bwd Pkts/s"": 15110.85}",0.0098023623513188,Infilteration
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.0007178939814050594, ""RST Flag Cnt"": 0.0007144820972720956, ""Dst Port"": 3.513197213463979e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Protocol"": 6.725459116553813e-07, ""Flow Duration"": 3.6321653526733334e-06, ""Tot Fwd Pkts"": 8.12480847560769e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": 5.641644076692224e-06, ""Protocol"": -5.7993844081603445e-08, ""Flow Duration"": 3.5321657826116404e-06, ""Reconstruction Error"": 0.02741829532468739}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.0042877197265625}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.764}",0.0005338044045928,Infilteration
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.0014013543217726147, ""FIN Flag Cnt"": 0.0006195180236574653, ""Bwd Pkt Len Mean"": 9.084872298381445e-06, ""Reconstruction Error"": 0.1649582851201265}, ""Protocol"": {""Dst Port"": -5.2533882234280825e-06, ""Protocol"": 4.298489852402291e-06, ""Flow Duration"": -4.354635730420282e-06, ""Reconstruction Error"": 0.11037778778610476}, ""Init Fwd Win Byts"": {""Dst Port"": -4.349581874222936e-06, ""Protocol"": -2.9350120644586544e-06, ""Flow Duration"": -1.2283929280319784e-06, ""Reconstruction Error"": 0.015642569621840442}}","{""Fwd Seg Size Min"": 0.5, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.0156402587890625}","{""Fwd Seg Size Min"": 19.995228, ""Protocol"": 6.000877, ""Init Fwd Win Byts"": 8196.62}",0.0003979188300729,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -2.117961739426686e-06, ""Protocol"": -7.65028245596524e-06, ""Flow Duration"": -9.060120690531973e-08, ""Reconstruction Error"": 0.16657229983044797}, ""Protocol"": {""URG Flag Cnt"": 0.0034470579343990476, ""Dst Port"": -3.4323569224137495e-06, ""Protocol"": -6.916337779522691e-06, ""Reconstruction Error"": 0.11054266587079623}, ""Bwd Pkts/s"": {""Dst Port"": -2.91752444666151e-07, ""Protocol"": 2.8710952775723063e-06, ""Flow Duration"": -1.0264141995081465e-06, ""Reconstruction Error"": 5.708183433964907e-05}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Bwd Pkts/s"": 0.055555555549999996}","{""Fwd Seg Size Min"": 20.007036, ""Protocol"": 6.005094, ""Bwd Pkts/s"": 15110.56}",0.0266840202833993,Infilteration
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.005442997558175167, ""RST Flag Cnt"": 0.005426927318266588, ""Dst Port"": 9.317225258075365e-06, ""Reconstruction Error"": 0.16234045526835236}, ""Protocol"": {""Init Bwd Win Byts"": 0.003028331844534604, ""PSH Flag Cnt"": 0.0017560198789904335, ""Protocol"": 0.0015051162947619723, ""Reconstruction Error"": 0.11035497643622688}, ""Init Bwd Win Byts"": {""Dst Port"": -2.5089860838964197e-06, ""Protocol"": 1.3722141418076801e-06, ""Flow Duration"": -5.492661646976114e-06, ""Reconstruction Error"": 0.02631938996024985}}","{""Fwd Seg Size Min"": 0.6666666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": -7.710877732316983e-06}","{""Fwd Seg Size Min"": 20.006584, ""Protocol"": 6.0002937, ""Init Bwd Win Byts"": 10632.07}",0.0013149623938925,Infilteration
"{""Protocol"": {""ECE Flag Cnt"": 0.0022542402464491643, ""RST Flag Cnt"": 0.0022519335308132144, ""PSH Flag Cnt"": 0.0005812453342326118, ""Reconstruction Error"": 0.0003548617287293898}, ""Fwd Seg Size Min"": {""SYN Flag Cnt"": 0.0003617611820437869, ""Fwd PSH Flags"": 0.00036175717682862714, ""Reconstruction Error"": 0.00026054451835373535}}","{""Protocol"": 0.3529411764705882, ""Fwd Seg Size Min"": 0.8333333333333334}","{""Protocol"": 0.032699108, ""Fwd Seg Size Min"": 0.058547974}",0.0119946711672584,Infilteration
"{""Fwd Seg Size Min"": {""Bwd IAT Tot"": 0.000123766574951815, ""Dst Port"": -8.606102488588065e-06, ""Protocol"": 8.650859703487725e-06, ""Reconstruction Error"": 0.16075632572466603}, ""Protocol"": {""Dst Port"": 2.7553532438884933e-06, ""Protocol"": 5.41491422594645e-06, ""Flow Duration"": -3.2880698149816145e-06, ""Reconstruction Error"": 0.11037927298176371}, ""Init Fwd Win Byts"": {""URG Flag Cnt"": 0.001130757935756893, ""PSH Flag Cnt"": 0.0006631878577884762, ""Dst Port"": -2.274261910154208e-06, ""Reconstruction Error"": 0.01564211115694658}}","{""Fwd Seg Size Min"": 0.75, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.0078277587890625}","{""Fwd Seg Size Min"": 19.995327, ""Protocol"": 6.000915, ""Init Fwd Win Byts"": 8196.492}",0.0024221554773702,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": 8.94849356091856e-07, ""Protocol"": 4.752706695668396e-06, ""Flow Duration"": -7.71841028080527e-06, ""Reconstruction Error"": 0.15936767181229758}, ""Protocol"": {""Dst Port"": -9.10389118469344e-06, ""Flow Duration"": -4.00530273978666e-06, ""Tot Fwd Pkts"": 3.052162101779232e-06, ""Reconstruction Error"": 0.11037978785192451}, ""Init Fwd Win Byts"": {""Dst Port"": -3.2429116008836096e-06, ""Protocol"": 8.743038190841371e-06, ""Flow Duration"": 1.1235598260652278e-06, ""Reconstruction Error"": 0.01564040018475507}}","{""Fwd Seg Size Min"": 0.8333333333333334, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.41021728515625}","{""Fwd Seg Size Min"": 19.995356, ""Protocol"": 6.0009284, ""Init Fwd Win Byts"": 8196.446}",0.0105605572555487,FTP-BruteForce
